TYPE	INSTANCE	DEVICE_TYPE	DEVICE_NAME	NAME	VALUE
tidb	10.0.1.21:4000	cpu	cpu	cpu-arch	amd64
tidb	10.0.1.21:4000	cpu	cpu	cpu-logical-cores	12
tidb	10.0.1.21:4000	cpu	cpu	cpu-physical-cores	12
tidb	10.0.1.21:4000	cpu	cpu	cpu-frequency	2396.40MHz
tidb	10.0.1.21:4000	cpu	cpu	cache	1024
tidb	10.0.1.21:4000	disk	sda1	fstype	ext4
tidb	10.0.1.21:4000	disk	sda1	opts	rw,relatime
tidb	10.0.1.21:4000	disk	sda1	path	/
tidb	10.0.1.21:4000	disk	sda1	total	483632488448
tidb	10.0.1.21:4000	disk	sda1	free	462304337920
tidb	10.0.1.21:4000	disk	sda1	used	1621983232
tidb	10.0.1.21:4000	disk	sda1	free-percent	1.00
tidb	10.0.1.21:4000	disk	sda1	used-percent	0.00
tidb	10.0.1.21:4000	disk	sda15	fstype	vfat
tidb	10.0.1.21:4000	disk	sda15	opts	rw,relatime
tidb	10.0.1.21:4000	disk	sda15	path	/boot/efi
tidb	10.0.1.21:4000	disk	sda15	total	264281088
tidb	10.0.1.21:4000	disk	sda15	free	264136192
tidb	10.0.1.21:4000	disk	sda15	used	144896
tidb	10.0.1.21:4000	disk	sda15	free-percent	1.00
tidb	10.0.1.21:4000	disk	sda15	used-percent	0.00
tidb	10.0.1.21:4000	memory	memory	capacity	24592855040
tidb	10.0.1.21:4000	net	enp7s0	mac	86:00:00:62:12:4d
tidb	10.0.1.21:4000	net	enp7s0	is-up	true
tidb	10.0.1.21:4000	net	enp7s0	is-broadcast	true
tidb	10.0.1.21:4000	net	enp7s0	is-multicast	true
tidb	10.0.1.21:4000	net	enp7s0	is-loopback	false
tidb	10.0.1.21:4000	net	enp7s0	is-point-to-point	false
tidb	10.0.1.21:4000	net	enp7s0	addresses	10.0.1.21/32,fe80::8400:ff:fe62:124d/64
tidb	10.0.1.21:4000	net	eth0	mac	92:00:07:a1:bc:77
tidb	10.0.1.21:4000	net	eth0	is-up	true
tidb	10.0.1.21:4000	net	eth0	is-broadcast	true
tidb	10.0.1.21:4000	net	eth0	is-multicast	true
tidb	10.0.1.21:4000	net	eth0	is-loopback	false
tidb	10.0.1.21:4000	net	eth0	is-point-to-point	false
tidb	10.0.1.21:4000	net	eth0	addresses	100.64.150.205/32,2a01:4f8:1c18:a0c2::1/64,fe80::9000:7ff:fea1:bc77/64
tidb	10.0.1.21:4000	net	lo	mac	
tidb	10.0.1.21:4000	net	lo	is-up	true
tidb	10.0.1.21:4000	net	lo	is-broadcast	false
tidb	10.0.1.21:4000	net	lo	is-multicast	false
tidb	10.0.1.21:4000	net	lo	is-loopback	true
tidb	10.0.1.21:4000	net	lo	is-point-to-point	false
tidb	10.0.1.21:4000	net	lo	addresses	127.0.0.1/8,::1/128
tidb	10.0.1.20:4000	cpu	cpu	cpu-arch	amd64
tidb	10.0.1.20:4000	cpu	cpu	cpu-logical-cores	12
tidb	10.0.1.20:4000	cpu	cpu	cpu-physical-cores	12
tidb	10.0.1.20:4000	cpu	cpu	cpu-frequency	2396.40MHz
tidb	10.0.1.20:4000	cpu	cpu	cache	1024
tidb	10.0.1.20:4000	disk	sda1	fstype	ext4
tidb	10.0.1.20:4000	disk	sda1	opts	rw,relatime
tidb	10.0.1.20:4000	disk	sda1	path	/
tidb	10.0.1.20:4000	disk	sda1	total	483632488448
tidb	10.0.1.20:4000	disk	sda1	free	459056488448
tidb	10.0.1.20:4000	disk	sda1	used	4869832704
tidb	10.0.1.20:4000	disk	sda1	free-percent	0.99
tidb	10.0.1.20:4000	disk	sda1	used-percent	0.01
tidb	10.0.1.20:4000	disk	sda15	fstype	vfat
tidb	10.0.1.20:4000	disk	sda15	opts	rw,relatime
tidb	10.0.1.20:4000	disk	sda15	path	/boot/efi
tidb	10.0.1.20:4000	disk	sda15	total	264281088
tidb	10.0.1.20:4000	disk	sda15	free	264136192
tidb	10.0.1.20:4000	disk	sda15	used	144896
tidb	10.0.1.20:4000	disk	sda15	free-percent	1.00
tidb	10.0.1.20:4000	disk	sda15	used-percent	0.00
tidb	10.0.1.20:4000	memory	memory	capacity	24592850944
tidb	10.0.1.20:4000	net	enp7s0	mac	86:00:00:62:12:45
tidb	10.0.1.20:4000	net	enp7s0	is-up	true
tidb	10.0.1.20:4000	net	enp7s0	is-broadcast	true
tidb	10.0.1.20:4000	net	enp7s0	is-multicast	true
tidb	10.0.1.20:4000	net	enp7s0	is-loopback	false
tidb	10.0.1.20:4000	net	enp7s0	is-point-to-point	false
tidb	10.0.1.20:4000	net	enp7s0	addresses	10.0.1.20/32,fe80::8400:ff:fe62:1245/64
tidb	10.0.1.20:4000	net	eth0	mac	92:00:07:a1:bc:83
tidb	10.0.1.20:4000	net	eth0	is-up	true
tidb	10.0.1.20:4000	net	eth0	is-broadcast	true
tidb	10.0.1.20:4000	net	eth0	is-multicast	true
tidb	10.0.1.20:4000	net	eth0	is-loopback	false
tidb	10.0.1.20:4000	net	eth0	is-point-to-point	false
tidb	10.0.1.20:4000	net	eth0	addresses	100.64.130.90/32,2a01:4f8:1c18:a82c::1/64,fe80::9000:7ff:fea1:bc83/64
tidb	10.0.1.20:4000	net	lo	mac	
tidb	10.0.1.20:4000	net	lo	is-up	true
tidb	10.0.1.20:4000	net	lo	is-broadcast	false
tidb	10.0.1.20:4000	net	lo	is-multicast	false
tidb	10.0.1.20:4000	net	lo	is-loopback	true
tidb	10.0.1.20:4000	net	lo	is-point-to-point	false
tidb	10.0.1.20:4000	net	lo	addresses	127.0.0.1/8,::1/128
tidb	10.0.1.22:4000	cpu	cpu	cpu-arch	amd64
tidb	10.0.1.22:4000	cpu	cpu	cpu-logical-cores	12
tidb	10.0.1.22:4000	cpu	cpu	cpu-physical-cores	12
tidb	10.0.1.22:4000	cpu	cpu	cpu-frequency	2400.00MHz
tidb	10.0.1.22:4000	cpu	cpu	cache	1024
tidb	10.0.1.22:4000	disk	sda1	fstype	ext4
tidb	10.0.1.22:4000	disk	sda1	opts	rw,relatime
tidb	10.0.1.22:4000	disk	sda1	path	/
tidb	10.0.1.22:4000	disk	sda1	total	483632488448
tidb	10.0.1.22:4000	disk	sda1	free	462187393024
tidb	10.0.1.22:4000	disk	sda1	used	1738928128
tidb	10.0.1.22:4000	disk	sda1	free-percent	1.00
tidb	10.0.1.22:4000	disk	sda1	used-percent	0.00
tidb	10.0.1.22:4000	disk	sda15	fstype	vfat
tidb	10.0.1.22:4000	disk	sda15	opts	rw,relatime
tidb	10.0.1.22:4000	disk	sda15	path	/boot/efi
tidb	10.0.1.22:4000	disk	sda15	total	264281088
tidb	10.0.1.22:4000	disk	sda15	free	264136192
tidb	10.0.1.22:4000	disk	sda15	used	144896
tidb	10.0.1.22:4000	disk	sda15	free-percent	1.00
tidb	10.0.1.22:4000	disk	sda15	used-percent	0.00
tidb	10.0.1.22:4000	memory	memory	capacity	24592850944
tidb	10.0.1.22:4000	net	enp7s0	mac	86:00:00:62:12:5a
tidb	10.0.1.22:4000	net	enp7s0	is-up	true
tidb	10.0.1.22:4000	net	enp7s0	is-broadcast	true
tidb	10.0.1.22:4000	net	enp7s0	is-multicast	true
tidb	10.0.1.22:4000	net	enp7s0	is-loopback	false
tidb	10.0.1.22:4000	net	enp7s0	is-point-to-point	false
tidb	10.0.1.22:4000	net	enp7s0	addresses	10.0.1.22/32,fe80::8400:ff:fe62:125a/64
tidb	10.0.1.22:4000	net	eth0	mac	92:00:07:a1:bc:84
tidb	10.0.1.22:4000	net	eth0	is-up	true
tidb	10.0.1.22:4000	net	eth0	is-broadcast	true
tidb	10.0.1.22:4000	net	eth0	is-multicast	true
tidb	10.0.1.22:4000	net	eth0	is-loopback	false
tidb	10.0.1.22:4000	net	eth0	is-point-to-point	false
tidb	10.0.1.22:4000	net	eth0	addresses	100.64.130.218/32,2a01:4f8:1c18:3628::1/64,fe80::9000:7ff:fea1:bc84/64
tidb	10.0.1.22:4000	net	lo	mac	
tidb	10.0.1.22:4000	net	lo	is-up	true
tidb	10.0.1.22:4000	net	lo	is-broadcast	false
tidb	10.0.1.22:4000	net	lo	is-multicast	false
tidb	10.0.1.22:4000	net	lo	is-loopback	true
tidb	10.0.1.22:4000	net	lo	is-point-to-point	false
tidb	10.0.1.22:4000	net	lo	addresses	127.0.0.1/8,::1/128
pd	10.0.1.22:2379	cpu	cpu	cpu-arch	amd64
pd	10.0.1.22:2379	cpu	cpu	cpu-logical-cores	12
pd	10.0.1.22:2379	cpu	cpu	cpu-physical-cores	12
pd	10.0.1.22:2379	cpu	cpu	cpu-frequency	2400.00MHz
pd	10.0.1.22:2379	cpu	cpu	cache	1024
pd	10.0.1.22:2379	disk	sda1	fstype	ext4
pd	10.0.1.22:2379	disk	sda1	opts	rw,relatime
pd	10.0.1.22:2379	disk	sda1	path	/
pd	10.0.1.22:2379	disk	sda1	total	483632488448
pd	10.0.1.22:2379	disk	sda1	free	462187393024
pd	10.0.1.22:2379	disk	sda1	used	1738928128
pd	10.0.1.22:2379	disk	sda1	free-percent	1.00
pd	10.0.1.22:2379	disk	sda1	used-percent	0.00
pd	10.0.1.22:2379	disk	sda15	fstype	vfat
pd	10.0.1.22:2379	disk	sda15	opts	rw,relatime
pd	10.0.1.22:2379	disk	sda15	path	/boot/efi
pd	10.0.1.22:2379	disk	sda15	total	264281088
pd	10.0.1.22:2379	disk	sda15	free	264136192
pd	10.0.1.22:2379	disk	sda15	used	144896
pd	10.0.1.22:2379	disk	sda15	free-percent	1.00
pd	10.0.1.22:2379	disk	sda15	used-percent	0.00
pd	10.0.1.22:2379	memory	memory	capacity	24592850944
pd	10.0.1.22:2379	net	enp7s0	mac	86:00:00:62:12:5a
pd	10.0.1.22:2379	net	enp7s0	is-up	true
pd	10.0.1.22:2379	net	enp7s0	is-broadcast	true
pd	10.0.1.22:2379	net	enp7s0	is-multicast	true
pd	10.0.1.22:2379	net	enp7s0	is-loopback	false
pd	10.0.1.22:2379	net	enp7s0	is-point-to-point	false
pd	10.0.1.22:2379	net	enp7s0	addresses	10.0.1.22/32,fe80::8400:ff:fe62:125a/64
pd	10.0.1.22:2379	net	eth0	mac	92:00:07:a1:bc:84
pd	10.0.1.22:2379	net	eth0	is-up	true
pd	10.0.1.22:2379	net	eth0	is-broadcast	true
pd	10.0.1.22:2379	net	eth0	is-multicast	true
pd	10.0.1.22:2379	net	eth0	is-loopback	false
pd	10.0.1.22:2379	net	eth0	is-point-to-point	false
pd	10.0.1.22:2379	net	eth0	addresses	100.64.130.218/32,2a01:4f8:1c18:3628::1/64,fe80::9000:7ff:fea1:bc84/64
pd	10.0.1.22:2379	net	lo	mac	
pd	10.0.1.22:2379	net	lo	is-up	true
pd	10.0.1.22:2379	net	lo	is-broadcast	false
pd	10.0.1.22:2379	net	lo	is-multicast	false
pd	10.0.1.22:2379	net	lo	is-loopback	true
pd	10.0.1.22:2379	net	lo	is-point-to-point	false
pd	10.0.1.22:2379	net	lo	addresses	127.0.0.1/8,::1/128
pd	10.0.1.20:2379	cpu	cpu	cpu-arch	amd64
pd	10.0.1.20:2379	cpu	cpu	cpu-logical-cores	12
pd	10.0.1.20:2379	cpu	cpu	cpu-physical-cores	12
pd	10.0.1.20:2379	cpu	cpu	cpu-frequency	2396.40MHz
pd	10.0.1.20:2379	cpu	cpu	cache	1024
pd	10.0.1.20:2379	disk	sda1	fstype	ext4
pd	10.0.1.20:2379	disk	sda1	opts	rw,relatime
pd	10.0.1.20:2379	disk	sda1	path	/
pd	10.0.1.20:2379	disk	sda1	total	483632488448
pd	10.0.1.20:2379	disk	sda1	free	459056357376
pd	10.0.1.20:2379	disk	sda1	used	4869963776
pd	10.0.1.20:2379	disk	sda1	free-percent	0.99
pd	10.0.1.20:2379	disk	sda1	used-percent	0.01
pd	10.0.1.20:2379	disk	sda15	fstype	vfat
pd	10.0.1.20:2379	disk	sda15	opts	rw,relatime
pd	10.0.1.20:2379	disk	sda15	path	/boot/efi
pd	10.0.1.20:2379	disk	sda15	total	264281088
pd	10.0.1.20:2379	disk	sda15	free	264136192
pd	10.0.1.20:2379	disk	sda15	used	144896
pd	10.0.1.20:2379	disk	sda15	free-percent	1.00
pd	10.0.1.20:2379	disk	sda15	used-percent	0.00
pd	10.0.1.20:2379	memory	memory	capacity	24592850944
pd	10.0.1.20:2379	net	enp7s0	mac	86:00:00:62:12:45
pd	10.0.1.20:2379	net	enp7s0	is-up	true
pd	10.0.1.20:2379	net	enp7s0	is-broadcast	true
pd	10.0.1.20:2379	net	enp7s0	is-multicast	true
pd	10.0.1.20:2379	net	enp7s0	is-loopback	false
pd	10.0.1.20:2379	net	enp7s0	is-point-to-point	false
pd	10.0.1.20:2379	net	enp7s0	addresses	10.0.1.20/32,fe80::8400:ff:fe62:1245/64
pd	10.0.1.20:2379	net	eth0	mac	92:00:07:a1:bc:83
pd	10.0.1.20:2379	net	eth0	is-up	true
pd	10.0.1.20:2379	net	eth0	is-broadcast	true
pd	10.0.1.20:2379	net	eth0	is-multicast	true
pd	10.0.1.20:2379	net	eth0	is-loopback	false
pd	10.0.1.20:2379	net	eth0	is-point-to-point	false
pd	10.0.1.20:2379	net	eth0	addresses	100.64.130.90/32,2a01:4f8:1c18:a82c::1/64,fe80::9000:7ff:fea1:bc83/64
pd	10.0.1.20:2379	net	lo	mac	
pd	10.0.1.20:2379	net	lo	is-up	true
pd	10.0.1.20:2379	net	lo	is-broadcast	false
pd	10.0.1.20:2379	net	lo	is-multicast	false
pd	10.0.1.20:2379	net	lo	is-loopback	true
pd	10.0.1.20:2379	net	lo	is-point-to-point	false
pd	10.0.1.20:2379	net	lo	addresses	127.0.0.1/8,::1/128
pd	10.0.1.21:2379	cpu	cpu	cpu-arch	amd64
pd	10.0.1.21:2379	cpu	cpu	cpu-logical-cores	12
pd	10.0.1.21:2379	cpu	cpu	cpu-physical-cores	12
pd	10.0.1.21:2379	cpu	cpu	cpu-frequency	2396.40MHz
pd	10.0.1.21:2379	cpu	cpu	cache	1024
pd	10.0.1.21:2379	disk	sda1	fstype	ext4
pd	10.0.1.21:2379	disk	sda1	opts	rw,relatime
pd	10.0.1.21:2379	disk	sda1	path	/
pd	10.0.1.21:2379	disk	sda1	total	483632488448
pd	10.0.1.21:2379	disk	sda1	free	462304337920
pd	10.0.1.21:2379	disk	sda1	used	1621983232
pd	10.0.1.21:2379	disk	sda1	free-percent	1.00
pd	10.0.1.21:2379	disk	sda1	used-percent	0.00
pd	10.0.1.21:2379	disk	sda15	fstype	vfat
pd	10.0.1.21:2379	disk	sda15	opts	rw,relatime
pd	10.0.1.21:2379	disk	sda15	path	/boot/efi
pd	10.0.1.21:2379	disk	sda15	total	264281088
pd	10.0.1.21:2379	disk	sda15	free	264136192
pd	10.0.1.21:2379	disk	sda15	used	144896
pd	10.0.1.21:2379	disk	sda15	free-percent	1.00
pd	10.0.1.21:2379	disk	sda15	used-percent	0.00
pd	10.0.1.21:2379	memory	memory	capacity	24592855040
pd	10.0.1.21:2379	net	enp7s0	mac	86:00:00:62:12:4d
pd	10.0.1.21:2379	net	enp7s0	is-up	true
pd	10.0.1.21:2379	net	enp7s0	is-broadcast	true
pd	10.0.1.21:2379	net	enp7s0	is-multicast	true
pd	10.0.1.21:2379	net	enp7s0	is-loopback	false
pd	10.0.1.21:2379	net	enp7s0	is-point-to-point	false
pd	10.0.1.21:2379	net	enp7s0	addresses	10.0.1.21/32,fe80::8400:ff:fe62:124d/64
pd	10.0.1.21:2379	net	eth0	mac	92:00:07:a1:bc:77
pd	10.0.1.21:2379	net	eth0	is-up	true
pd	10.0.1.21:2379	net	eth0	is-broadcast	true
pd	10.0.1.21:2379	net	eth0	is-multicast	true
pd	10.0.1.21:2379	net	eth0	is-loopback	false
pd	10.0.1.21:2379	net	eth0	is-point-to-point	false
pd	10.0.1.21:2379	net	eth0	addresses	100.64.150.205/32,2a01:4f8:1c18:a0c2::1/64,fe80::9000:7ff:fea1:bc77/64
pd	10.0.1.21:2379	net	lo	mac	
pd	10.0.1.21:2379	net	lo	is-up	true
pd	10.0.1.21:2379	net	lo	is-broadcast	false
pd	10.0.1.21:2379	net	lo	is-multicast	false
pd	10.0.1.21:2379	net	lo	is-loopback	true
pd	10.0.1.21:2379	net	lo	is-point-to-point	false
pd	10.0.1.21:2379	net	lo	addresses	127.0.0.1/8,::1/128
tikv	10.0.1.38:20160	cpu	cpu	cpu-logical-cores	12
tikv	10.0.1.38:20160	cpu	cpu	cpu-physical-cores	12
tikv	10.0.1.38:20160	cpu	cpu	cpu-frequency	0MHz
tikv	10.0.1.38:20160	cpu	cpu	cpu-vendor-id	AuthenticAMD
tikv	10.0.1.38:20160	cpu	cpu	cpu-arch	amd64
tikv	10.0.1.38:20160	cpu	cpu	l1-cache-size	32768
tikv	10.0.1.38:20160	cpu	cpu	l1-cache-line-size	64
tikv	10.0.1.38:20160	cpu	cpu	l2-cache-size	1048576
tikv	10.0.1.38:20160	cpu	cpu	l2-cache-line-size	64
tikv	10.0.1.38:20160	cpu	cpu	l3-cache-size	33554432
tikv	10.0.1.38:20160	cpu	cpu	l3-cache-line-size	64
tikv	10.0.1.38:20160	disk	/dev/sda1	type	SSD
tikv	10.0.1.38:20160	disk	/dev/sda1	fstype	ext4
tikv	10.0.1.38:20160	disk	/dev/sda1	path	/
