 table_name | shardid |   shard_name    | citus_table_type | colocation_id | nodename  | nodeport | shard_size 
------------+---------+-----------------+------------------+---------------+-----------+----------+------------
 customer   |  102013 | customer_102013 | reference        |             1 | 10.0.1.20 |     5432 |  984539136
 customer   |  102013 | customer_102013 | reference        |             1 | 10.0.1.22 |     5432 |  984539136
 customer   |  102013 | customer_102013 | reference        |             1 | 10.0.1.21 |     5432 |  984539136
 lineitem   |  102046 | lineitem_102046 | distributed      |             2 | 10.0.1.21 |     5432 |  990175232
 lineitem   |  102047 | lineitem_102047 | distributed      |             2 | 10.0.1.22 |     5432 |  991330304
 lineitem   |  102048 | lineitem_102048 | distributed      |             2 | 10.0.1.21 |     5432 |  991895552
 lineitem   |  102049 | lineitem_102049 | distributed      |             2 | 10.0.1.22 |     5432 |  990748672
 lineitem   |  102050 | lineitem_102050 | distributed      |             2 | 10.0.1.21 |     5432 |  990167040
 lineitem   |  102051 | lineitem_102051 | distributed      |             2 | 10.0.1.22 |     5432 |  990756864
 lineitem   |  102052 | lineitem_102052 | distributed      |             2 | 10.0.1.21 |     5432 |  990093312
 lineitem   |  102053 | lineitem_102053 | distributed      |             2 | 10.0.1.22 |     5432 |  991346688
 lineitem   |  102054 | lineitem_102054 | distributed      |             2 | 10.0.1.21 |     5432 |  990158848
 lineitem   |  102055 | lineitem_102055 | distributed      |             2 | 10.0.1.22 |     5432 |  991895552
 lineitem   |  102056 | lineitem_102056 | distributed      |             2 | 10.0.1.21 |     5432 |  991944704
 lineitem   |  102057 | lineitem_102057 | distributed      |             2 | 10.0.1.22 |     5432 |  989528064
 lineitem   |  102058 | lineitem_102058 | distributed      |             2 | 10.0.1.21 |     5432 |  991969280
 lineitem   |  102059 | lineitem_102059 | distributed      |             2 | 10.0.1.22 |     5432 |  990765056
 lineitem   |  102060 | lineitem_102060 | distributed      |             2 | 10.0.1.21 |     5432 |  990707712
 lineitem   |  102061 | lineitem_102061 | distributed      |             2 | 10.0.1.22 |     5432 |  992526336
 lineitem   |  102062 | lineitem_102062 | distributed      |             2 | 10.0.1.21 |     5432 |  991944704
 lineitem   |  102063 | lineitem_102063 | distributed      |             2 | 10.0.1.22 |     5432 |  991305728
 lineitem   |  102064 | lineitem_102064 | distributed      |             2 | 10.0.1.21 |     5432 |  990748672
 lineitem   |  102065 | lineitem_102065 | distributed      |             2 | 10.0.1.22 |     5432 |  991338496
 lineitem   |  102066 | lineitem_102066 | distributed      |             2 | 10.0.1.21 |     5432 |  990715904
 lineitem   |  102067 | lineitem_102067 | distributed      |             2 | 10.0.1.22 |     5432 |  991297536
 lineitem   |  102068 | lineitem_102068 | distributed      |             2 | 10.0.1.21 |     5432 |  990699520
 lineitem   |  102069 | lineitem_102069 | distributed      |             2 | 10.0.1.22 |     5432 |  991305728
 lineitem   |  102070 | lineitem_102070 | distributed      |             2 | 10.0.1.21 |     5432 |  991928320
 lineitem   |  102071 | lineitem_102071 | distributed      |             2 | 10.0.1.22 |     5432 |  991313920
 lineitem   |  102072 | lineitem_102072 | distributed      |             2 | 10.0.1.21 |     5432 |  991354880
 lineitem   |  102073 | lineitem_102073 | distributed      |             2 | 10.0.1.22 |     5432 |  991936512
 lineitem   |  102074 | lineitem_102074 | distributed      |             2 | 10.0.1.21 |     5432 |  993116160
 lineitem   |  102075 | lineitem_102075 | distributed      |             2 | 10.0.1.22 |     5432 |  990691328
 lineitem   |  102076 | lineitem_102076 | distributed      |             2 | 10.0.1.21 |     5432 |  991354880
 lineitem   |  102077 | lineitem_102077 | distributed      |             2 | 10.0.1.22 |     5432 |  991354880
 nation     |  102009 | nation_102009   | reference        |             1 | 10.0.1.22 |     5432 |      24576
 nation     |  102009 | nation_102009   | reference        |             1 | 10.0.1.21 |     5432 |      24576
 nation     |  102009 | nation_102009   | reference        |             1 | 10.0.1.20 |     5432 |      24576
 orders     |  102014 | orders_102014   | distributed      |             2 | 10.0.1.21 |     5432 |  232570880
 orders     |  102015 | orders_102015   | distributed      |             2 | 10.0.1.22 |     5432 |  232570880
 orders     |  102016 | orders_102016   | distributed      |             2 | 10.0.1.21 |     5432 |  232570880
 orders     |  102017 | orders_102017   | distributed      |             2 | 10.0.1.22 |     5432 |  232546304
 orders     |  102018 | orders_102018   | distributed      |             2 | 10.0.1.21 |     5432 |  232538112
 orders     |  102019 | orders_102019   | distributed      |             2 | 10.0.1.22 |     5432 |  232570880
 orders     |  102020 | orders_102020   | distributed      |             2 | 10.0.1.21 |     5432 |  231981056
 orders     |  102021 | orders_102021   | distributed      |             2 | 10.0.1.22 |     5432 |  232570880
 orders     |  102022 | orders_102022   | distributed      |             2 | 10.0.1.21 |     5432 |  232538112
 orders     |  102023 | orders_102023   | distributed      |             2 | 10.0.1.22 |     5432 |  232570880
 orders     |  102024 | orders_102024   | distributed      |             2 | 10.0.1.21 |     5432 |  232570880
 orders     |  102025 | orders_102025   | distributed      |             2 | 10.0.1.22 |     5432 |  231997440
 orders     |  102026 | orders_102026   | distributed      |             2 | 10.0.1.21 |     5432 |  232595456
 orders     |  102027 | orders_102027   | distributed      |             2 | 10.0.1.22 |     5432 |  232538112
 orders     |  102028 | orders_102028   | distributed      |             2 | 10.0.1.21 |     5432 |  232546304
 orders     |  102029 | orders_102029   | distributed      |             2 | 10.0.1.22 |     5432 |  232570880
 orders     |  102030 | orders_102030   | distributed      |             2 | 10.0.1.21 |     5432 |  232587264
 orders     |  102031 | orders_102031   | distributed      |             2 | 10.0.1.22 |     5432 |  232554496
 orders     |  102032 | orders_102032   | distributed      |             2 | 10.0.1.21 |     5432 |  232538112
 orders     |  102033 | orders_102033   | distributed      |             2 | 10.0.1.22 |     5432 |  232562688
 orders     |  102034 | orders_102034   | distributed      |             2 | 10.0.1.21 |     5432 |  232538112
 orders     |  102035 | orders_102035   | distributed      |             2 | 10.0.1.22 |     5432 |  232570880
 orders     |  102036 | orders_102036   | distributed      |             2 | 10.0.1.21 |     5432 |  232546304
 orders     |  102037 | orders_102037   | distributed      |             2 | 10.0.1.22 |     5432 |  232570880
 orders     |  102038 | orders_102038   | distributed      |             2 | 10.0.1.21 |     5432 |  232570880
 orders     |  102039 | orders_102039   | distributed      |             2 | 10.0.1.22 |     5432 |  232570880
 orders     |  102040 | orders_102040   | distributed      |             2 | 10.0.1.21 |     5432 |  232554496
 orders     |  102041 | orders_102041   | distributed      |             2 | 10.0.1.22 |     5432 |  232562688
 orders     |  102042 | orders_102042   | distributed      |             2 | 10.0.1.21 |     5432 |  233136128
 orders     |  102043 | orders_102043   | distributed      |             2 | 10.0.1.22 |     5432 |  232529920
 orders     |  102044 | orders_102044   | distributed      |             2 | 10.0.1.21 |     5432 |  232562688
 orders     |  102045 | orders_102045   | distributed      |             2 | 10.0.1.22 |     5432 |  232570880
 part       |  102011 | part_102011     | reference        |             1 | 10.0.1.20 |     5432 | 1141891072
 part       |  102011 | part_102011     | reference        |             1 | 10.0.1.21 |     5432 | 1141891072
 part       |  102011 | part_102011     | reference        |             1 | 10.0.1.22 |     5432 | 1141891072
 partsupp   |  102012 | partsupp_102012 | reference        |             1 | 10.0.1.21 |     5432 | 4845256704
 partsupp   |  102012 | partsupp_102012 | reference        |             1 | 10.0.1.22 |     5432 | 4845256704
 partsupp   |  102012 | partsupp_102012 | reference        |             1 | 10.0.1.20 |     5432 | 4845256704
 region     |  102008 | region_102008   | reference        |             1 | 10.0.1.20 |     5432 |      24576
 region     |  102008 | region_102008   | reference        |             1 | 10.0.1.21 |     5432 |      24576
 region     |  102008 | region_102008   | reference        |             1 | 10.0.1.22 |     5432 |      24576
 supplier   |  102010 | supplier_102010 | reference        |             1 | 10.0.1.20 |     5432 |   61554688
 supplier   |  102010 | supplier_102010 | reference        |             1 | 10.0.1.21 |     5432 |   61554688
