id	estRows	estCost	task	access object	operator info
Projection_26	6.40	499703.31	root		tpch.supplier.s_name, Column#69
└─TopN_29	6.40	499702.03	root		Column#69:desc, tpch.supplier.s_name, offset:0, count:100
  └─HashAgg_34	6.40	496920.25	root		group by:tpch.supplier.s_name, funcs:count(1)->Column#69, funcs:firstrow(tpch.supplier.s_name)->tpch.supplier.s_name
    └─IndexJoin_42	6.40	495030.93	root		anti semi join, inner:TableReader_38, outer key:tpch.lineitem.l_orderkey, inner key:tpch.lineitem.l_orderkey, equal cond:eq(tpch.lineitem.l_orderkey, tpch.lineitem.l_orderkey), other cond:ne(tpch.lineitem.l_suppkey, tpch.lineitem.l_suppkey)
      ├─IndexJoin_105(Build)	8.00	489461.25	root		semi join, inner:TableReader_102, outer key:tpch.lineitem.l_orderkey, inner key:tpch.lineitem.l_orderkey, equal cond:eq(tpch.lineitem.l_orderkey, tpch.lineitem.l_orderkey), other cond:ne(tpch.lineitem.l_suppkey, tpch.lineitem.l_suppkey), ne(tpch.lineitem.l_suppkey, tpch.supplier.s_suppkey)
      │ ├─Projection_111(Build)	10.00	482859.24	root		tpch.supplier.s_suppkey, tpch.supplier.s_name, tpch.lineitem.l_orderkey, tpch.lineitem.l_suppkey
      │ │ └─IndexJoin_118	10.00	482855.25	root		inner join, inner:TableReader_114, outer key:tpch.supplier.s_nationkey, inner key:tpch.nation.n_nationkey, equal cond:eq(tpch.supplier.s_nationkey, tpch.nation.n_nationkey)
      │ │   ├─IndexHashJoin_131(Build)	15.62	473549.49	root		inner join, inner:TableReader_126, outer key:tpch.lineitem.l_suppkey, inner key:tpch.supplier.s_suppkey, equal cond:eq(tpch.lineitem.l_suppkey, tpch.supplier.s_suppkey)
      │ │   │ ├─IndexJoin_143(Build)	12.50	465669.10	root		inner join, inner:TableReader_139, outer key:tpch.orders.o_orderkey, inner key:tpch.lineitem.l_orderkey, equal cond:eq(tpch.orders.o_orderkey, tpch.lineitem.l_orderkey)
      │ │   │ │ ├─TableReader_163(Build)	10.00	459081.26	root		data:Selection_162
      │ │   │ │ │ └─Selection_162	10.00	6885228.90	cop[tikv]		eq(tpch.orders.o_orderstatus, "F")
      │ │   │ │ │   └─TableFullScan_161	10000.00	6386228.90	cop[tikv]	table:orders	keep order:false, stats:pseudo
      │ │   │ │ └─TableReader_139(Probe)	8.00	32.29	root		data:Selection_138
      │ │   │ │   └─Selection_138	8.00	383.02	cop[tikv]		gt(tpch.lineitem.l_receiptdate, tpch.lineitem.l_commitdate)
      │ │   │ │     └─TableRangeScan_137	10.00	333.12	cop[tikv]	table:l1	range: decided by [eq(tpch.lineitem.l_orderkey, tpch.orders.o_orderkey)], keep order:false, stats:pseudo
      │ │   │ └─TableReader_126(Probe)	12.50	31.52	root		data:TableRangeScan_125
      │ │   │   └─TableRangeScan_125	12.50	310.51	cop[tikv]	table:supplier	range: decided by [tpch.lineitem.l_suppkey], keep order:false, stats:pseudo
      │ │   └─TableReader_114(Probe)	0.02	22.48	root		data:Selection_113
      │ │     └─Selection_113	0.02	337.05	cop[tikv]		eq(tpch.nation.n_name, "ARGENTINA")
      │ │       └─TableRangeScan_112	15.62	287.15	cop[tikv]	table:nation	range: decided by [tpch.supplier.s_nationkey], keep order:false, stats:pseudo
      │ └─TableReader_102(Probe)	10.00	26.43	root		data:TableRangeScan_101
      │   └─TableRangeScan_101	10.00	333.12	cop[tikv]	table:l2	range: decided by [eq(tpch.lineitem.l_orderkey, tpch.lineitem.l_orderkey)], keep order:false, stats:pseudo
      └─TableReader_38(Probe)	6.40	32.29	root		data:Selection_37
        └─Selection_37	6.40	383.02	cop[tikv]		gt(tpch.lineitem.l_receiptdate, tpch.lineitem.l_commitdate)
          └─TableRangeScan_36	8.00	333.12	cop[tikv]	table:l3	range: decided by [eq(tpch.lineitem.l_orderkey, tpch.lineitem.l_orderkey)], keep order:false, stats:pseudo
