id	estRows	estCost	task	access object	operator info
StreamAgg_10	1.00	513271.55	root		funcs:sum(Column#30)->Column#26
└─Projection_54	0.00	513271.55	root		mul(tpch.lineitem.l_extendedprice, minus(1, tpch.lineitem.l_discount))->Column#30
  └─IndexJoin_28	0.00	513271.55	root		inner join, inner:Projection_27, outer key:tpch.part.p_partkey, inner key:tpch.lineitem.l_partkey, equal cond:eq(tpch.part.p_partkey, tpch.lineitem.l_partkey), other cond:or(and(and(eq(tpch.part.p_brand, "Brand#14"), in(tpch.part.p_container, "SM CASE", "SM BOX", "SM PACK", "SM PKG")), and(ge(tpch.lineitem.l_quantity, 1), and(le(tpch.lineitem.l_quantity, 11), le(tpch.part.p_size, 5)))), or(and(and(eq(tpch.part.p_brand, "Brand#13"), in(tpch.part.p_container, "MED BAG", "MED BOX", "MED PKG", "MED PACK")), and(ge(tpch.lineitem.l_quantity, 20), and(le(tpch.lineitem.l_quantity, 30), le(tpch.part.p_size, 10)))), and(and(eq(tpch.part.p_brand, "Brand#34"), in(tpch.part.p_container, "LG CASE", "LG BOX", "LG PACK", "LG PKG")), and(ge(tpch.lineitem.l_quantity, 27), and(le(tpch.lineitem.l_quantity, 37), le(tpch.part.p_size, 15))))))
    ├─TableReader_53(Build)	0.01	503076.03	root		data:Selection_52
    │ └─Selection_52	0.01	7546136.81	cop[tikv]		ge(tpch.part.p_size, 1), or(and(eq(tpch.part.p_brand, "Brand#14"), and(in(tpch.part.p_container, "SM CASE", "SM BOX", "SM PACK", "SM PKG"), le(tpch.part.p_size, 5))), or(and(eq(tpch.part.p_brand, "Brand#13"), and(in(tpch.part.p_container, "MED BAG", "MED BOX", "MED PKG", "MED PACK"), le(tpch.part.p_size, 10))), and(eq(tpch.part.p_brand, "Brand#34"), and(in(tpch.part.p_container, "LG CASE", "LG BOX", "LG PACK", "LG PKG"), le(tpch.part.p_size, 15)))))
    │   └─TableFullScan_51	10000.00	6548136.81	cop[tikv]	table:part	keep order:false, stats:pseudo
    └─Projection_27(Probe)	0.00	19615630.65	root		tpch.lineitem.l_partkey, tpch.lineitem.l_quantity, tpch.lineitem.l_extendedprice, tpch.lineitem.l_discount, tpch.lineitem.l_shipinstruct, tpch.lineitem.l_shipmode
      └─IndexLookUp_26	0.00	19615630.65	root		
        ├─IndexRangeScan_23(Build)	132.93	2442000.00	cop[tikv]	table:lineitem, index:fk_1(l_partkey, l_suppkey)	range: decided by [eq(tpch.lineitem.l_partkey, tpch.part.p_partkey)], keep order:false, stats:pseudo
        └─Selection_25(Probe)	0.00	5042298.22	cop[tikv]		eq(tpch.lineitem.l_shipinstruct, "DELIVER IN PERSON"), in(tpch.lineitem.l_shipmode, "AIR", "AIR REG"), or(and(ge(tpch.lineitem.l_quantity, 1), le(tpch.lineitem.l_quantity, 11)), or(and(ge(tpch.lineitem.l_quantity, 20), le(tpch.lineitem.l_quantity, 30)), and(ge(tpch.lineitem.l_quantity, 27), le(tpch.lineitem.l_quantity, 37))))
          └─TableRowIDScan_24	132.93	3545298.22	cop[tikv]	table:lineitem	keep order:false, stats:pseudo
