id	estRows	estCost	task	access object	operator info
Projection_42	10.00	3216289.76	root		tpch.supplier.s_acctbal, tpch.supplier.s_name, tpch.nation.n_name, tpch.part.p_partkey, tpch.part.p_mfgr, tpch.supplier.s_address, tpch.supplier.s_phone, tpch.supplier.s_comment
└─TopN_45	10.00	3216281.78	root		tpch.supplier.s_acctbal:desc, tpch.nation.n_name, tpch.supplier.s_name, tpch.part.p_partkey, offset:0, count:100
  └─HashJoin_52	10.00	3208158.51	root		inner join, equal:[eq(tpch.part.p_partkey, tpch.partsupp.ps_partkey) eq(tpch.partsupp.ps_supplycost, Column#48)]
    ├─IndexJoin_59(Build)	10.00	532720.27	root		inner join, inner:TableReader_55, outer key:tpch.nation.n_regionkey, inner key:tpch.region.r_regionkey, equal cond:eq(tpch.nation.n_regionkey, tpch.region.r_regionkey)
    │ ├─IndexJoin_70(Build)	15.62	523414.64	root		inner join, inner:TableReader_67, outer key:tpch.supplier.s_nationkey, inner key:tpch.nation.n_nationkey, equal cond:eq(tpch.supplier.s_nationkey, tpch.nation.n_nationkey)
    │ │ ├─IndexHashJoin_83(Build)	12.50	515522.41	root		inner join, inner:TableReader_78, outer key:tpch.partsupp.ps_suppkey, inner key:tpch.supplier.s_suppkey, equal cond:eq(tpch.partsupp.ps_suppkey, tpch.supplier.s_suppkey)
    │ │ │ ├─IndexJoin_93(Build)	10.00	508878.88	root		inner join, inner:TableReader_90, outer key:tpch.part.p_partkey, inner key:tpch.partsupp.ps_partkey, equal cond:eq(tpch.part.p_partkey, tpch.partsupp.ps_partkey)
    │ │ │ │ ├─TableReader_118(Build)	8.00	503282.76	root		data:Selection_117
    │ │ │ │ │ └─Selection_117	8.00	7546136.81	cop[tikv]		eq(tpch.part.p_size, 20), like(tpch.part.p_type, "%COPPER", 92)
    │ │ │ │ │   └─TableFullScan_116	10000.00	6548136.81	cop[tikv]	table:part	keep order:false, stats:pseudo
    │ │ │ │ └─TableReader_90(Probe)	8.00	35.09	root		data:TableRangeScan_89
    │ │ │ │   └─TableRangeScan_89	8.00	304.59	cop[tikv]	table:partsupp	range: decided by [eq(tpch.partsupp.ps_partkey, tpch.part.p_partkey)], keep order:false, stats:pseudo
    │ │ │ └─TableReader_78(Probe)	10.00	72.97	root		data:TableRangeScan_77
    │ │ │   └─TableRangeScan_77	10.00	310.51	cop[tikv]	table:supplier	range: decided by [tpch.partsupp.ps_suppkey], keep order:false, stats:pseudo
    │ │ └─TableReader_67(Probe)	12.50	29.97	root		data:TableRangeScan_66
    │ │   └─TableRangeScan_66	12.50	287.15	cop[tikv]	table:nation	range: decided by [tpch.supplier.s_nationkey], keep order:false, stats:pseudo
    │ └─TableReader_55(Probe)	0.02	22.24	root		data:Selection_54
    │   └─Selection_54	0.02	333.41	cop[tikv]		eq(tpch.region.r_name, "MIDDLE EAST")
    │     └─TableRangeScan_53	15.62	283.51	cop[tikv]	table:region	range: decided by [tpch.nation.n_regionkey], keep order:false, stats:pseudo
    └─Selection_128(Probe)	15.62	2671416.42	root		not(isnull(Column#48))
      └─HashAgg_129	19.53	2670441.81	root		group by:tpch.partsupp.ps_partkey, funcs:min(tpch.partsupp.ps_supplycost)->Column#48, funcs:firstrow(tpch.partsupp.ps_partkey)->tpch.partsupp.ps_partkey
        └─HashJoin_133	19.53	2667731.93	root		inner join, equal:[eq(tpch.supplier.s_suppkey, tpch.partsupp.ps_suppkey)]
          ├─HashJoin_135(Build)	15.62	1831938.78	root		inner join, equal:[eq(tpch.nation.n_nationkey, tpch.supplier.s_nationkey)]
          │ ├─HashJoin_148(Build)	12.50	1111574.99	root		inner join, equal:[eq(tpch.region.r_regionkey, tpch.nation.n_regionkey)]
          │ │ ├─TableReader_153(Build)	10.00	425156.24	root		data:Selection_152
          │ │ │ └─Selection_152	10.00	6375403.18	cop[tikv]		eq(tpch.region.r_name, "MIDDLE EAST")
          │ │ │   └─TableFullScan_151	10000.00	5876403.18	cop[tikv]	table:region	keep order:false, stats:pseudo
          │ │ └─TableReader_150(Probe)	10000.00	484225.75	root		data:TableFullScan_149
          │ │   └─TableFullScan_149	10000.00	5996186.28	cop[tikv]	table:nation	keep order:false, stats:pseudo
          │ └─TableReader_155(Probe)	10000.00	517999.29	root		data:TableFullScan_154
          │   └─TableFullScan_154	10000.00	6502789.34	cop[tikv]	table:supplier	keep order:false, stats:pseudo
          └─TableReader_157(Probe)	10000.00	633111.78	root		data:TableFullScan_156
            └─TableFullScan_156	10000.00	6328676.67	cop[tikv]	table:partsupp	keep order:false, stats:pseudo
