id	estRows	estCost	task	access object	operator info
Sort_23	20.00	1786132.17	root		tpch.nation.n_name, tpch.nation.n_name, Column#49
└─Projection_25	20.00	1781426.88	root		tpch.nation.n_name, tpch.nation.n_name, Column#49, Column#51
  └─HashAgg_26	20.00	1781418.90	root		group by:Column#55, Column#56, Column#57, funcs:sum(Column#54)->Column#51, funcs:firstrow(Column#55)->tpch.nation.n_name, funcs:firstrow(Column#56)->tpch.nation.n_name, funcs:firstrow(Column#57)->Column#49
    └─Projection_95	20.00	1777647.90	root		mul(tpch.lineitem.l_extendedprice, minus(1, tpch.lineitem.l_discount))->Column#54, tpch.nation.n_name->Column#55, tpch.nation.n_name->Column#56, extract(YEAR, tpch.lineitem.l_shipdate)->Column#57
      └─Projection_27	20.00	1777244.71	root		tpch.lineitem.l_extendedprice, tpch.lineitem.l_discount, tpch.lineitem.l_shipdate, tpch.nation.n_name, tpch.nation.n_name
        └─IndexJoin_34	20.00	1777234.73	root		inner join, inner:TableReader_30, outer key:tpch.customer.c_nationkey, inner key:tpch.nation.n_nationkey, equal cond:eq(tpch.customer.c_nationkey, tpch.nation.n_nationkey), other cond:or(and(eq(tpch.nation.n_name, "KENYA"), eq(tpch.nation.n_name, "UNITED KINGDOM")), and(eq(tpch.nation.n_name, "UNITED KINGDOM"), eq(tpch.nation.n_name, "KENYA")))
          ├─IndexJoin_45(Build)	48.83	1751334.79	root		inner join, inner:TableReader_42, outer key:tpch.orders.o_custkey, inner key:tpch.customer.c_custkey, equal cond:eq(tpch.orders.o_custkey, tpch.customer.c_custkey)
          │ ├─IndexJoin_57(Build)	39.06	1729897.86	root		inner join, inner:TableReader_54, outer key:tpch.lineitem.l_orderkey, inner key:tpch.orders.o_orderkey, equal cond:eq(tpch.lineitem.l_orderkey, tpch.orders.o_orderkey)
          │ │ ├─HashJoin_65(Build)	31.25	1712450.19	root		inner join, equal:[eq(tpch.supplier.s_suppkey, tpch.lineitem.l_suppkey)]
          │ │ │ ├─HashJoin_78(Build)	25.00	1154559.43	root		inner join, equal:[eq(tpch.nation.n_nationkey, tpch.supplier.s_nationkey)]
          │ │ │ │ ├─TableReader_83(Build)	20.00	433271.14	root		data:Selection_82
          │ │ │ │ │ └─Selection_82	20.00	6495186.28	cop[tikv]		or(eq(tpch.nation.n_name, "KENYA"), eq(tpch.nation.n_name, "UNITED KINGDOM"))
          │ │ │ │ │   └─TableFullScan_81	10000.00	5996186.28	cop[tikv]	table:n1	keep order:false, stats:pseudo
          │ │ │ │ └─TableReader_80(Probe)	10000.00	517999.29	root		data:TableFullScan_79
          │ │ │ │   └─TableFullScan_79	10000.00	6502789.34	cop[tikv]	table:supplier	keep order:false, stats:pseudo
          │ │ │ └─TableReader_86(Probe)	250.00	548743.76	root		data:Selection_85
          │ │ │   └─Selection_85	250.00	8088596.44	cop[tikv]		ge(tpch.lineitem.l_shipdate, 1995-01-01), le(tpch.lineitem.l_shipdate, 1996-12-31)
          │ │ │     └─TableFullScan_84	10000.00	7090596.44	cop[tikv]	table:lineitem	keep order:false, stats:pseudo
          │ │ └─TableReader_54(Probe)	31.25	24.04	root		data:TableRangeScan_53
          │ │   └─TableRangeScan_53	31.25	297.26	cop[tikv]	table:orders	range: decided by [tpch.lineitem.l_orderkey], keep order:false, stats:pseudo
          │ └─TableReader_42(Probe)	39.06	25.27	root		data:TableRangeScan_41
          │   └─TableRangeScan_41	39.06	315.62	cop[tikv]	table:customer	range: decided by [tpch.orders.o_custkey], keep order:false, stats:pseudo
          └─TableReader_30(Probe)	0.10	22.49	root		data:Selection_29
            └─Selection_29	0.10	337.05	cop[tikv]		or(eq(tpch.nation.n_name, "UNITED KINGDOM"), eq(tpch.nation.n_name, "KENYA"))
              └─TableRangeScan_28	48.83	287.15	cop[tikv]	table:n2	range: decided by [tpch.customer.c_nationkey], keep order:false, stats:pseudo
